,time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
818,2021-08-16,2,1629166367,922278361.6111566,0,0.0,4125.924132982861,773.2397557748676,6.519081182448884e-05,2.99778122226375,133.536978557003,2.641463211727684,307653658.9,8,9.2592593e-05,8,74566.0,223532.55461931878,9320.75,27941.569327414843,8439.5,25299.774625294922,0.676657600661,0.05059803115977616,0.05524054212819273
819,2021-08-17,2,1629252654,916370803.717476,0,0.0,4264.083976437976,770.8167880487787,6.661387482824791e-05,2.97857924717656,137.31820530415558,0.3630936838161251,307653658.9,8,9.2592593e-05,8,72150.0,214904.4926837888,9018.75,26863.0615854736,6889.5,20520.92172342291,0.6767297304709999,0.05060391955820004,0.05518021716634847
820,2021-08-18,2,1629339021,916800636.6497297,0,0.0,4591.434481986688,771.5796022241556,6.62889235063773e-05,2.97997637969821,137.85068262000755,-1.5292953217087408,307653658.9,8,9.2592593e-05,8,67006.0,199676.29729805826,8375.75,24959.537162257282,8264.0,24626.524801826006,0.676792070051,0.049807682661382434,0.0550589507803299
821,2021-08-19,2,1629425691,917257705.952377,0,0.0,4589.995955361272,770.5243836337953,6.391559786345227e-05,2.9814620415436806,136.30303556380156,-6.578226718521564,307653658.9,8,9.2592593e-05,8,67027.0,199838.4562585482,8378.375,24979.807032318524,8158.0,24322.76733491334,0.676846478635,0.049659228143977184,0.054121145807085456
822,2021-08-20,2,1629511897,912261224.8381317,0,0.0,4492.343597044564,764.8774458227653,6.021874733717297e-05,2.9652214379633097,135.4506561859673,14.94608895421122,307653658.9,8,9.2592593e-05,8,68484.0,203070.2249574793,8560.5,25383.778119684917,6397.5,18970.00414937027,0.676959518084,0.049658169333237766,0.036764425046836864
823,2021-08-21,2,1629598172,921578381.2940432,0,0.0,6026.752446716817,771.5901619678567,6.10452677879724e-05,2.99550600044576,138.30617243719414,9.303607755194307,307653658.9,8,9.2592593e-05,8,51048.0,152914.5903107552,6381.0,19114.3237888444,6407.5,19193.70469785621,0.676989389336,0.04961351838732395,0.035244761151323016
824,2021-08-22,2,1629685189,914903282.6609355,0,0.0,8115.583605476272,765.1989515194983,6.02433029184145e-05,2.9738092045845494,134.48443311388402,6.7816442750669506,307653658.9,8,9.2592593e-05,8,37909.0,112734.1331365957,4738.625,14091.766642074464,3944.0,11728.703502881464,0.676991368835,0.04946585768593751,0.035203034066429106
825,2021-08-23,2,1629771146,922476609.5379583,0,0.0,4213.279360449192,5006.959856025312,6.046325107745165e-05,2.99842560896635,136.394008119715,4.277315491431714,307653658.9,8,9.2592593e-05,8,73020.0,218945.03796672288,9127.5,27368.12974584036,9172.5,27503.058898243842,0.677184972903,0.049450521218815456,0.034774592904758816
826,2021-08-24,2,1629857475,885909369.3913617,0,0.0,4602.14897382199,4804.04188162722,6.008378390910986e-05,2.87956714884811,125.8313337210755,4.924820043061424,307653658.9,8,9.2592593e-05,8,66850.0,192499.06390049614,8356.25,24062.382987562018,5336.0,15365.370306253513,0.6773568317399999,0.049536077140804366,0.034497005045811935
827,2021-08-25,2,1629944012,908188768.4683855,0,0.0,5381.100500236125,4921.010967031047,6.024172930156631e-05,2.9519842920626003,133.96933212147272,5.93003985867595,307653658.9,8,9.2592593e-05,8,57173.0,168773.797930095,7146.625,21096.724741261878,7075.5,20886.76485848893,0.677403549858,0.0495172856370658,0.034671064524044816
